"category","ingredient","philippines_alias_or_example","basis_quantity","basis_unit","energy_kcal","protein_g","fat_g","carbohydrate_g","fiber_g","sugars_g","source","source_url","verification_level","notes"
"Leavening Agents","Active dry yeast","","100","g","325","40.4","7.6","41.2","26.9","0.0","USDA FoodData Central — active dry yeast","https://fdc.nal.usda.gov/food-search/?query=active%20dry%20yeast","representative",""
"Leavening Agents","Active sourdough starter","100% hydration starter","100","g","182","5.17","0.49","38.16","1.35","0.15","Derived prototype profile: 100% hydration sourdough starter (equal flour and water by weight); King Arthur Baking hydration guidance + USDA/FDC all-purpose flour profile","https://shop.kingarthurbaking.com/content/recipes/SourdoughBooklet_2_2026.pdf ; https://fdc.nal.usda.gov/","derived","Prototype calculation assumes a mature 100% hydration starter: approximately 50 g all-purpose flour + 50 g water per 100 g starter. Fermentation changes composition somewhat, so this is a controlled derived value, not a laboratory assay."
"Flours and Starches","All-purpose flour","Marca Leon / Robinsons (example)","100","g","352","12.6","0.8","73.7","2.7","0.3","DOST-FNRI PhilFCT — Wheat flour, all-purpose","https://i.fnri.dost.gov.ph/fct/library/report/3163","direct","Philippine generic reference; branded flour labels may differ."
"Nuts, Fruits, and Add-ins","Blueberries","Fresh blueberries","100","g","57","0.74","0.33","14.5","2.4","10.0","USDA FoodData Central via MyFoodData — Blueberries","https://tools.myfooddata.com/nutrition-comparison/171711/100g/1/1","direct","Fresh raw blueberry reference."
"Flours and Starches","Bread flour","","100","g","361","12.0","1.7","72.5","2.4","0.4","USDA FoodData Central — representative bread flour","https://fdc.nal.usda.gov/food-search/?query=bread%20flour","representative","Generic high-protein wheat flour reference; exact protein varies by mill."
"Fats and Oils","Butter","Generic baking butter; mapped to unsalted butter","100","g","717","0.85","81.11","0.06","0","0.06","USDA FoodData Central — Butter, without salt","https://whatyoueat.io/foods/173430-unsalted-butter","direct","Seeded recipe uses generic 'Butter'. For the prototype this canonical entry maps to unsalted butter, the standard default for sweet baking; a branded Philippine butter can override later."
"Chocolates and Cocoa","Dark chocolate","70–85% cacao reference","100","g","598","7.8","42.6","45.9","10.9","24.0","USDA FoodData Central via MyFoodData — Dark Chocolate (70–85% Cocoa)","https://tools.myfooddata.com/protein-calculator/170273/100g/1/1","direct","Dark chocolate varies substantially by cacao percentage and added sugar. This is the canonical prototype reference."
"Leavening Agents","Eggs","Whole raw eggs","100","g","143","12.56","9.51","0.72","0","0.37","USDA FoodData Central — Egg, whole, raw, fresh","https://whatyoueat.io/foods/171287-whole-egg","direct","Canonical seeded-recipe entry. Recipe quantity is in pieces, so Baker's Diary still needs a gram-per-egg portion conversion."
"Flavorings, Spices, and Extracts","Lemon","Fresh lemon, raw, without peel","100","g","29","1.1","0.3","9.32","2.8","2.5","USDA FoodData Central — Lemons, raw, without peel","https://batchbase.com.au/usda-foods/167746","direct","Canonical seeded-recipe entry. Recipe quantity is in pieces, so Baker's Diary still needs a gram-per-lemon edible-portion conversion."
"Salts and Conditioners","Salt","Table salt / fine salt","100","g","0","0","0","0","0","0","USDA FoodData Central — Salt, table","https://whatyoueat.io/foods/173468-table-salt","direct","Macros are zero; USDA reference reports about 38,758 mg sodium per 100 g. Sodium should be represented separately in the runtime nutrient model."
"Sugars and Sweeteners","Sugar","Granulated white sugar","100","g","387","0","0","99.98","0","99.8","USDA FoodData Central — Sugars, granulated","https://whatyoueat.io/foods/169655-granulated-sugar","direct","Canonical seeded-recipe 'Sugar' maps to granulated white sugar unless a recipe specifies another sugar type."
"Dairy and Liquids","Water","","100","g","0","0.0","0.0","0.0","0.0","0.0","Standard composition","https://fdc.nal.usda.gov/food-search/?query=water","direct",""
"Dairy and Liquids","Whole milk","Anchor Full Cream UHT Milk","100","mL","62","4.3","3.3","4.7","0","4.7","Anchor Philippines — Full Cream UHT Milk","https://www.anchordairy.com/ph/en/products/milk-powders-and-uht/anchor-full-cream-uht-milk.html","direct","Philippines-market manufacturer data; basis is per 100 mL, matching the seeded recipe's volume unit."
"Flours and Starches","Whole wheat flour","","100","g","340","13.2","2.5","72.0","10.7","0.4","USDA FoodData Central — whole wheat flour","https://fdc.nal.usda.gov/food-search/?query=whole%20wheat%20flour","representative",""
"Leavening Agents","Baking powder","Double-acting baking powder","100","g","53","0","0","27.7","0.2","0","USDA FoodData Central - double-acting baking powder","https://nutri-db.com/en/foods/172803","direct","Generic double-acting baking powder reference."
"Filipino Baking Ingredients","Ube Halaya","Ube sweet purple yam spread","100","g","250","2","0","62","2","48","Kapuso Brand Ube Sweet Purple Yam Spread - representative label","https://www.mynetdiary.com/food/calories-in-ube-sweet-purple-yam-spread-by-kapuso-brand-cup-30700363-0.html","representative","Ube halaya varies materially by recipe and brand; prototype uses a branded Filipino-style yam spread reference."
"Dairy and Liquids","Coconut Milk","Gata","100","g","230","2.29","23.84","5.54","2.2","3.34","USDA FoodData Central - coconut milk raw","https://whatyoueat.io/foods/170172-coconut-milk","direct","Generic coconut milk reference; canned brands may differ."
"Flavorings, Spices, and Extracts","Vanilla Extract","Pure vanilla extract","100","g","288","0.06","0.06","12.65","0","12.65","USDA FoodData Central - vanilla extract","https://whatyoueat.io/foods/173471-vanilla-extract","direct","Pure vanilla extract reference; used in very small recipe quantities."
"Nuts, Fruits, and Add-ins","Desiccated Coconut","Unsweetened desiccated coconut","100","g","660","6.88","64.53","23.65","16.3","7.35","USDA SR Legacy - dried desiccated coconut, not sweetened","https://www.ars.usda.gov/ARSUserFiles/80400535/Data/SR/SR28/reports/sr28fg12.pdf","direct","Unsweetened desiccated coconut reference."
